match_id,competition,season_year,matchday,kickoff,home_team,home_team_logo,away_team,away_team_logo,stadium_official,stadium_sponsor,status,round
2046046,UCL,2026,MD8,2026-01-28T20:00:00Z,Pafos,https://img.uefa.com/imgml/TP/teams/logos/700x700/2609532.png,Slavia Praha,https://img.uefa.com/imgml/TP/teams/logos/700x700/52498.png,Limassol Stadium,Alphamega Stadium,UPCOMING,League Phase
2046045,UCL,2026,MD8,2026-01-28T20:00:00Z,Athletic Club,https://img.uefa.com/imgml/TP/teams/logos/700x700/50125.png,Sporting CP,https://img.uefa.com/imgml/TP/teams/logos/700x700/50149.png,Estadio de San Mamés,Estadio de San Mamés,UPCOMING,League Phase
2046044,UCL,2026,MD8,2026-01-28T20:00:00Z,Union SG,https://img.uefa.com/imgml/TP/teams/logos/700x700/64125.png,Atalanta,https://img.uefa.com/imgml/TP/teams/logos/700x700/52816.png,RSC Anderlecht Stadium,Lotto Park,UPCOMING,League Phase
2046043,UCL,2026,MD8,2026-01-28T20:00:00Z,Monaco,https://img.uefa.com/imgml/TP/teams/logos/700x700/50023.png,Juventus,https://img.uefa.com/imgml/TP/teams/logos/700x700/50139.png,Stade Louis II,Aucun,UPCOMING,League Phase
2046042,UCL,2026,MD8,2026-01-28T20:00:00Z,Napoli,https://img.uefa.com/imgml/TP/teams/logos/700x700/50136.png,Chelsea,https://img.uefa.com/imgml/TP/teams/logos/700x700/52914.png,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,UPCOMING,League Phase
2046041,UCL,2026,MD8,2026-01-28T20:00:00Z,Ajax,https://img.uefa.com/imgml/TP/teams/logos/700x700/50143.png,Olympiacos,https://img.uefa.com/imgml/TP/teams/logos/700x700/2610.png,Johan Cruijff ArenA,Johan Cruijff ArenA,UPCOMING,League Phase
2046040,UCL,2026,MD8,2026-01-28T20:00:00Z,PSV,https://img.uefa.com/imgml/TP/teams/logos/700x700/50062.png,Bayern München,https://img.uefa.com/imgml/TP/teams/logos/700x700/50037.png,PSV Stadion,Philips Stadion,UPCOMING,League Phase
2046039,UCL,2026,MD8,2026-01-28T20:00:00Z,Club Brugge,https://img.uefa.com/imgml/TP/teams/logos/700x700/50043.png,Marseille,https://img.uefa.com/imgml/TP/teams/logos/700x700/52748.png,Jan Breydelstadion,No commercial name,UPCOMING,League Phase
2046038,UCL,2026,MD8,2026-01-28T20:00:00Z,Frankfurt,https://img.uefa.com/imgml/TP/teams/logos/700x700/50072.png,Tottenham,https://img.uefa.com/imgml/TP/teams/logos/700x700/1652.png,Frankfurt Stadion,Deutsche Bank Park,UPCOMING,League Phase
2046037,UCL,2026,MD8,2026-01-28T20:00:00Z,Benfica,https://img.uefa.com/imgml/TP/teams/logos/700x700/50147.png,Real Madrid,https://img.uefa.com/imgml/TP/teams/logos/700x700/50051.png,Estádio do SL Benfica,Estádio do SL Benfica,UPCOMING,League Phase
2046036,UCL,2026,MD8,2026-01-28T20:00:00Z,Atleti,https://img.uefa.com/imgml/TP/teams/logos/700x700/50124.png,Bodø/Glimt,https://img.uefa.com/imgml/TP/teams/logos/700x700/59333.png,Estadio Metropolitano,Wanda Metropolitano,UPCOMING,League Phase
2046035,UCL,2026,MD8,2026-01-28T20:00:00Z,Leverkusen,https://img.uefa.com/imgml/TP/teams/logos/700x700/50109.png,Villarreal,https://img.uefa.com/imgml/TP/teams/logos/700x700/70691.png,BayArena,BayArena,UPCOMING,League Phase
2046034,UCL,2026,MD8,2026-01-28T20:00:00Z,Arsenal,https://img.uefa.com/imgml/TP/teams/logos/700x700/52280.png,Kairat Almaty,https://img.uefa.com/imgml/TP/teams/logos/700x700/79970.png,Arsenal Stadium,Arsenal Stadium,UPCOMING,League Phase
2046033,UCL,2026,MD8,2026-01-28T20:00:00Z,Barcelona,https://img.uefa.com/imgml/TP/teams/logos/700x700/50080.png,Copenhagen,https://img.uefa.com/imgml/TP/teams/logos/700x700/52709.png,Camp Nou,Spotify Camp Nou,UPCOMING,League Phase
2046032,UCL,2026,MD8,2026-01-28T20:00:00Z,B. Dortmund,https://img.uefa.com/imgml/TP/teams/logos/700x700/52758.png,Inter,https://img.uefa.com/imgml/TP/teams/logos/700x700/50138.png,BVB Stadion Dortmund,Signal Iduna Park,UPCOMING,League Phase
2046031,UCL,2026,MD8,2026-01-28T20:00:00Z,Liverpool,https://img.uefa.com/imgml/TP/teams/logos/700x700/7889.png,Qarabağ,https://img.uefa.com/imgml/TP/teams/logos/700x700/60609.png,Anfield,Anfield,UPCOMING,League Phase
2046030,UCL,2026,MD8,2026-01-28T20:00:00Z,Man City,https://img.uefa.com/imgml/TP/teams/logos/700x700/52919.png,Galatasaray,https://img.uefa.com/imgml/TP/teams/logos/700x700/50067.png,City of Manchester Stadium,Etihad Stadium,UPCOMING,League Phase
2046029,UCL,2026,MD8,2026-01-28T20:00:00Z,Paris,https://img.uefa.com/imgml/TP/teams/logos/700x700/52747.png,Newcastle,https://img.uefa.com/imgml/TP/teams/logos/700x700/59324.png,Parc des Princes,Parc des Princes,UPCOMING,League Phase
2046028,UCL,2026,MD7,2026-01-21T20:00:00Z,Bayern München,https://img.uefa.com/imgml/TP/teams/logos/700x700/50037.png,Union SG,https://img.uefa.com/imgml/TP/teams/logos/700x700/64125.png,Fußball Arena München,Allianz Arena,UPCOMING,League Phase
2046027,UCL,2026,MD7,2026-01-21T20:00:00Z,Newcastle,https://img.uefa.com/imgml/TP/teams/logos/700x700/59324.png,PSV,https://img.uefa.com/imgml/TP/teams/logos/700x700/50062.png,St James' Park,St James' Park,UPCOMING,League Phase
2046024,UCL,2026,MD7,2026-01-21T20:00:00Z,Marseille,https://img.uefa.com/imgml/TP/teams/logos/700x700/52748.png,Liverpool,https://img.uefa.com/imgml/TP/teams/logos/700x700/7889.png,Stade de Marseille,Orange Vélodrome,UPCOMING,League Phase
2046023,UCL,2026,MD7,2026-01-21T20:00:00Z,Slavia Praha,https://img.uefa.com/imgml/TP/teams/logos/700x700/52498.png,Barcelona,https://img.uefa.com/imgml/TP/teams/logos/700x700/50080.png,Eden Arena,Fortuna Arena,UPCOMING,League Phase
2046022,UCL,2026,MD7,2026-01-21T20:00:00Z,Juventus,https://img.uefa.com/imgml/TP/teams/logos/700x700/50139.png,Benfica,https://img.uefa.com/imgml/TP/teams/logos/700x700/50147.png,Juventus Stadium,Juventus Stadium,UPCOMING,League Phase
2046021,UCL,2026,MD7,2026-01-21T20:00:00Z,Atalanta,https://img.uefa.com/imgml/TP/teams/logos/700x700/52816.png,Athletic Club,https://img.uefa.com/imgml/TP/teams/logos/700x700/50125.png,Stadio di Bergamo,Stadio di Bergamo,UPCOMING,League Phase
2046020,UCL,2026,MD7,2026-01-21T20:00:00Z,Chelsea,https://img.uefa.com/imgml/TP/teams/logos/700x700/52914.png,Pafos,https://img.uefa.com/imgml/TP/teams/logos/700x700/2609532.png,Stamford Bridge,Stamford Bridge,UPCOMING,League Phase
